Title,Running Time,Genre,Director,Barcode,Format,Condition
Bad Education,106 mins,Drama; Thriller,Pedro Almodóvar,,DVD,
Balzac: A Life Of Passion,186 mins,Drama,Jos Dayan; Josée Dayan,12236208587,DVD,
Banlieue 13 Ultimatum - District 13 Ultimatum,101 mins,Action; Foreign; Science Fiction,Patrick Alessandrin,5060116724677,DVD,
Be Cool,120 mins,Comedy; Crime,F. Gary Gray,,DVD,
Be With Me,93 mins,Romance,Eric Khoo,,DVD,
Beat That My Heart Skipped,107 mins,Crime; Foreign; Music,Jacques Audiard,5021866309309,DVD,
Beautiful Kate,96 mins,Drama,Rachel Ward,5060103792146,DVD,
Beethoven Symphonies 1-9,,Musical,,,DVD,
Beethoven- Missa solemnis,,Music,,,DVD,
Beethoven: Missa Solemnis: Staatskapelle Dresden (Blu-Ray),90 mins,Music,,814337010553,Blu-ray Disc,
Belcanto - The Tenors Of The 78 Era - Part 2,,,,5450270012480,DVD,
Bellini: Norma,155 mins,Music; Opera,Brian Large; Jurgen Rose,,DVD,
Berg- Wozzeck,106 mins,Music; Opera,,,DVD,
Berlioz - Grande Messe Des Morts  - Requiem Opus 5,102 mins,,,,DVD,
Berlioz- Grande Messe Des Morts,102 mins,Music,,,DVD,
Berlioz: Arias: Regine Crespin,68 mins,Music,,,DVD,
Berlioz: Les Troyens: from Chatelet,312 mins,Music,Brian Large; James Levine,,DVD,
Bichunmoo,118 mins,Action; Drama; Fantasy; Romance,Young-jun Kim,,DVD,
Bienvenue Chez Les Ch'tis,106 mins,Comedy,Dany Boon,3388330034078,DVD,
Bird,160 mins,Drama,Clint Eastwood,7321931118200,DVD,
Bizet: Carmen: Bumbry / Vickers / Freni / Diaz,163 mins,Opera,Herbert Von Karajan,44007340325,DVD,
Black Snow ( Ben Ming Nian ),99 mins,Drama,Fei Xie,5060114150263,DVD,
Blitz,97 mins,Action; Thriller,Elliott Lester,,DVD,
Blood Diamond,143 mins,Adventure; Thriller,Edward Zwick,,DVD,
Blood Father,88 mins,Action; Thriller,Jean-Francois Richet,,Blu-ray Disc,
Blow Out,108 mins,Crime; Mystery; Thriller,Brian De Palma,,DVD,
Body Of Lies,128 mins,Action; Crime; Thriller,Ridley Scott,5051892001298,Blu-ray Disc,
Bond 50: The Complete 22 Film Collection,2744 mins,Action; Adventure; Thriller,Terence Young,5039036050746,Blu-ray Disc,
Boris Godunov,110 mins,Foreign; Music; Opera,Vera Stroyeva,89948425397,DVD,
Boris Godunov  Bolshoi Opera,,,,,DVD,
Boris Godunov 2010  Opus Arte,,,,,DVD,
Boris Godunov: Mussorgsky: Valery Gergiev,210 mins,Music; Opera,,44007508992,DVD,
Boy,83 mins,Adventure; Comedy; Drama; Romance,Taika Cohen,,DVD,
Breaking And Entering,120 mins,Drama; Romance; Thriller,Anthony Minghella,,DVD,
Breathless,101 mins,Action; Drama; Romance,Jim McBride,5050070005134,DVD,
Brokeback Mountain,134 mins,Drama; Romance; Western,Ang Lee,,DVD,
Brooklyn,111 mins,Drama; Romance,John Crowley,,DVD,
Cadfael: Complete Collection,983 mins,Crime; Mystery,,,DVD,
Casino Royale,144 mins,Action; Adventure; Thriller,Martin Campbell,,DVD,
Cast Away,143 mins,Adventure,Robert Zemeckis,,DVD,
