Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
13,,,,,DVD,,,None,eBay,No matching listings,
36,110 mins,Action; Crime; Foreign,,5023965362322.0,DVD,Unopened,18.25,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
2046,129 mins,Fantasy; Romance; Science Fiction,Kar Wai Wong,,DVD,,19.9,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
100 Years of powered flight,120 mins,Documentary,Robert Garofalo,5019322065166.0,DVD,,32.8,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
12 Monkeys,129 mins,Action; Adventure; Science Fiction; Thriller,Terry Gilliam,5050582726077.0,Blu-ray Disc,,32.49,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
