Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
47 Ronin,128 mins,Drama; Fantasy; Action,Carl Rinsch,9317731102301,Blu-ray,Unopened,13.95,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
A Battle Of Wits,133 mins,Action; Drama; War,Chi Leung 'Jacob' Cheung,5055002531682,DVD,,10.31,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
A Bridge Too Far,176 mins,Action; War,Richard Attenborough,5039036041294,Blu-ray,,35.1,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
A Good Year,118 mins,Comedy; Romance,Ridley Scott,9321337082288,DVD,,7.95,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
A Heart In Winter,,,,9333723000226,,,25.0,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
A Lonely Place To Die,99 mins,Action; Adventure; Crime; Thriller,Julian Gilbey,9327031012323,DVD,,10.95,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
A Touch Of Cloth,270 mins,Comedy,Jim O'Hanlon,6867441056492,DVD,,83.48,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Adobe Photoshop Lightroom 3 for Digital Photographers,450 mins,Special Interest,,853824001728,DVD,,,None,eBay,No matching listings,
After Alice,100 mins,Crime; Mystery; Thriller,Paul Marcus,7321900597500,DVD,,,None,eBay,No matching listings,
Agatha Christie Classic Mystery Collection,1300 mins,Mystery; Thriller,,7321900658874,DVD,,45.56,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Alastair Sim - The Comic Icons Collection-The Green Man;Folly to be Wise; Geordie; Left Right and Centre; Laughter in Paradise,447 mins,Crime,Basil Dearden; Robert Day,5055201801104,DVD,,69.09,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Alien Anthology,1421 mins,Horror; Science Fiction; Thriller,Ridley Scott,5039036050319,Blu-ray,Unopened,70.5,Low,eBay,No Brand New listings found. Estimated using used listings. (1 listing),
American Gangster,157 mins,Comedy; Crime; Documentary; Drama; Thriller,Ridley Scott,5050582900385,Blu-ray,,,None,eBay,No matching listings,
American Sniper,132 mins,Action; Biography; Documentary; Drama; War,Clint Eastwood,5051892186582,Blu-ray,,27.07,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Amour,127 mins,Drama; Romance,Michael Haneke,5021866057408,DVD,,37.61,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Andres Segovia In Portrait: Segovia At Los Olivos / Segovia: The Song Of The Guitar,,,Ralph Levy; Richard Whorf,809478009313,DVD,,51.49,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Argo,120 mins,Drama; History; Thriller,Ben Affleck,5051892123495,Blu-ray,,29.72,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Arn: Knight Templar,200 mins,,,5022153101644,DVD,,,None,eBay,No matching listings,
Art Of Conducting: Great Conductors Of The Past,164 mins,Music,Gerald Caillat; Sue Knussen,809274266729,DVD,,70.44,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Art Of Conducting: Legendary Conductors Of A Golden Era,115 mins,Music,,809274266828,DVD,,39.62,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Art Of Piano: Great Pianists Of The 20th Century,108 mins,Music,Donald Sturrock,639842919920,DVD,,22.23,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Art Of Singing: Golden Voices Of The Century,116 mins,Documentary; Music,Donald Sturrock,706301589823,DVD,,10.64,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Art Of Violin: The Devil's Instrument: Transcending The Violin,113 mins,Music,Bruno Monsaigneon; Bruno Monsaingeon,685738580125,DVD,,21.95,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Ashes And Diamonds,105 mins,Drama; Foreign,Andrzej Wajda,5027035006505,DVD,,83.52,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Atonement,123 mins,Romance; War,Joe Wright,5050582532517,DVD,,6.71,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Avatar,162 mins,Action; Science Fiction; Thriller,James Cameron,5039036053747,Blu-ray 3D,,34.8,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Azumi,128 mins,Action; Adventure; Drama; War,Ryuhei Kitamura,5060034573050,DVD,,50.94,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
B13 - District 13,85 mins,Action; Comedy; Foreign; Science Fiction,Pierre Morel,5060049147215,DVD,,33.4,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Back To The Future: The Complete Trilogy,342 mins,Adventure; Comedy; Science Fiction,Robert Zemeckis,5050582788860,Blu-ray,,43.54,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Balzac: A Life Of Passion,186 mins,Drama,Jos Dayan; Josée Dayan,12236208587,DVD,,50.69,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Banlieue 13 Ultimatum - District 13 Ultimatum,101 mins,Action; Foreign; Science Fiction,Patrick Alessandrin,5060116724677,DVD,,28.2,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Beat That My Heart Skipped,107 mins,Crime; Foreign; Music,Jacques Audiard,5021866309309,DVD,,37.93,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Beautiful Kate,96 mins,Drama,Rachel Ward,5060103792146,DVD,,,None,eBay,No matching listings,
Beethoven: Missa Solemnis: Staatskapelle Dresden (Blu-Ray),90 mins,Music,,814337010553,Blu-ray,,48.94,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Belcanto - The Tenors Of The 78 Era - Part 2,,,,5450270012480,DVD,,51.05,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
